Code,ID,Annotation
[T],KOG0033,Ca2+/calmodulin-dependent protein kinase EF-Hand protein superfamily
[T],KOG0034,Ca2+/calmodulin-dependent protein phosphatase (calcineurin subunit B) EF-Hand superfamily protein
[Z],KOG0035,Ca2+-binding actin-bundling protein (actinin) alpha chain (EF-Hand protein superfamily)
[F],KOG0036,Predicted mitochondrial carrier protein
[T],KOG0037,Ca2+-binding protein EF-Hand protein superfamily
[R],KOG0038,Ca2+-binding kinase interacting protein (KIP) (EF-Hand protein superfamily)
[PQ],KOG0039,Ferric reductase NADH/NADPH oxidase and related proteins
[Z],KOG0040,Ca2+-binding actin-bundling protein (spectrin) alpha chain (EF-Hand protein superfamily)
[R],KOG0041,Predicted Ca2+-binding protein EF-Hand protein superfamily
[C],KOG0042,Glycerol-3-phosphate dehydrogenase
[S],KOG0043,Uncharacterized conserved protein contains DM10 domain
[T],KOG0044,Ca2+ sensor (EF-Hand superfamily)
[OT],KOG0045,Cytosolic Ca2+-dependent cysteine protease (calpain) large subunit (EF-Hand protein superfamily)
[Z],KOG0046,Ca2+-binding actin-bundling protein (fimbrin/plastin) EF-Hand protein superfamily
[P],KOG0047,Catalase
[K],KOG0048,Transcription factor Myb superfamily
[K],KOG0049,Transcription factor Myb superfamily
[AD],KOG0050,mRNA splicing protein CDC5 (Myb superfamily)
[K],KOG0051,RNA polymerase I termination factor Myb superfamily
[J],KOG0052,Translation elongation factor EF-1 alpha/Tu
[E],KOG0053,Cystathionine beta-lyases/cystathionine gamma-synthases
[Q],KOG0054,Multidrug resistance-associated protein/mitoxantrone resistance protein ABC superfamily
[Q],KOG0055,Multidrug/pheromone exporter ABC superfamily
[P],KOG0056,Heavy metal exporter HMT1 ABC superfamily
[U],KOG0057,Mitochondrial Fe/S cluster exporter ABC superfamily
[U],KOG0058,Peptide exporter ABC superfamily
[IR],KOG0059,Lipid exporter ABCA1 and related proteins ABC superfamily
[IR],KOG0060,Long-chain acyl-CoA transporter ABC superfamily (involved in peroxisome organization and biogenesis)
[Q],KOG0061,Transporter ABC superfamily (Breast cancer resistance protein)
[EJ],KOG0062,ATPase component of ABC transporters with duplicated ATPase domains/Translation elongation factor EF-3b
[A],KOG0063,RNAse L inhibitor ABC superfamily
[I],KOG0064,Peroxisomal long-chain acyl-CoA transporter ABC superfamily
[Q],KOG0065,Pleiotropic drug resistance proteins (PDR1-15) ABC superfamily
[J],KOG0066,eIF2-interacting protein ABC50 (ABC superfamily)
[K],KOG0067,Transcription factor CtBP
[E],KOG0068,D-3-phosphoglycerate dehydrogenase D-isomer-specific 2-hydroxy acid dehydrogenase superfamily
[C],KOG0069,Glyoxylate/hydroxypyruvate reductase (D-isomer-specific 2-hydroxy acid dehydrogenase superfamily)
[U],KOG0070,GTP-binding ADP-ribosylation factor Arf1
[U],KOG0071,GTP-binding ADP-ribosylation factor Arf6 (dArf3)
[U],KOG0072,GTP-binding ADP-ribosylation factor-like protein ARL1
[UZ],KOG0073,GTP-binding ADP-ribosylation factor-like protein ARL2
[R],KOG0074,GTP-binding ADP-ribosylation factor-like protein ARL3
[R],KOG0075,GTP-binding ADP-ribosylation factor-like protein
[U],KOG0076,GTP-binding ADP-ribosylation factor-like protein yARL3
[U],KOG0077,Vesicle coat complex COPII GTPase subunit SAR1
[TU],KOG0078,GTP-binding protein SEC4 small G protein superfamily and related Ras family GTP-binding proteins
[R],KOG0079,GTP-binding protein H-ray small G protein superfamily
[R],KOG0080,GTPase Rab18 small G protein superfamily
[U],KOG0081,GTPase Rab27 small G protein superfamily
[DT],KOG0082,G-protein alpha subunit (small G protein superfamily)
[R],KOG0083,GTPase Rab26/Rab37 small G protein superfamily
[TU],KOG0084,GTPase Rab1/YPT1 small G protein superfamily and related GTP-binding proteins
[T],KOG0085,G protein subunit Galphaq/Galphay small G protein superfamily
[U],KOG0086,GTPase Rab4 small G protein superfamily
[U],KOG0087,GTPase Rab11/YPT3 small G protein superfamily
[R],KOG0088,GTPase Rab21 small G protein superfamily
[H],KOG0089,Methylenetetrahydrofolate dehydrogenase/methylenetetrahydrofolate cyclohydrolase
[U],KOG0090,Signal recognition particle receptor beta subunit (small G protein superfamily)
[R],KOG0091,GTPase Rab39 small G protein superfamily
[U],KOG0092,GTPase Rab5/YPT51 and related small G protein superfamily GTPases
[U],KOG0093,GTPase Rab3 small G protein superfamily
[U],KOG0094,GTPase Rab6/YPT6/Ryh1 small G protein superfamily
[U],KOG0095,GTPase Rab30 small G protein superfamily
[U],KOG0096,GTPase Ran/TC4/GSP1 (nuclear protein transport pathway) small G protein superfamily
[U],KOG0097,GTPase Rab14 small G protein superfamily
[U],KOG0098,GTPase Rab2 small G protein superfamily
[T],KOG0099,G protein subunit Galphas small G protein superfamily
[O],KOG0100,Molecular chaperones GRP78/BiP/KAR2 HSP70 superfamily
[O],KOG0101,Molecular chaperones HSP70/HSC70 HSP70 superfamily
[O],KOG0102,Molecular chaperones mortalin/PBP74/GRP75 HSP70 superfamily
[O],KOG0103,Molecular chaperones HSP105/HSP110/SSE1 HSP70 superfamily
[O],KOG0104,Molecular chaperones GRP170/SIL1 HSP70 superfamily
[A],KOG0105,Alternative splicing factor ASF/SF2 (RRM superfamily)
[A],KOG0106,Alternative splicing factor SRp55/B52/SRp75 (RRM superfamily)
[A],KOG0107,Alternative splicing factor SRp20/9G8 (RRM superfamily)
[A],KOG0108,mRNA cleavage and polyadenylation factor I complex subunit RNA15
[AR],KOG0109,RNA-binding protein LARK contains RRM and retroviral-type Zn-finger domains
[R],KOG0110,RNA-binding protein (RRM superfamily)
[O],KOG0111,Cyclophilin-type peptidyl-prolyl cis-trans isomerase
[R],KOG0112,Large RNA-binding protein (RRM superfamily)
[A],KOG0113,U1 small nuclear ribonucleoprotein (RRM superfamily)
[R],KOG0114,Predicted RNA-binding protein (RRM superfamily)
[A],KOG0115,RNA-binding protein p54nrb (RRM superfamily)
[T],KOG0116,RasGAP SH3 binding protein rasputin contains NTF2 and RRM domains
[A],KOG0117,Heterogeneous nuclear ribonucleoprotein R (RRM superfamily)
[R],KOG0118,FOG: RRM domain
[A],KOG0119,Splicing factor 1/branch point binding protein (RRM superfamily)
[A],KOG0120,Splicing factor U2AF large subunit (RRM superfamily)
[A],KOG0121,Nuclear cap-binding protein complex subunit CBP20 (RRM superfamily)
[J],KOG0122,Translation initiation factor 3 subunit g (eIF-3g)
[AJ],KOG0123,Polyadenylate-binding protein (RRM superfamily)
[A],KOG0124,Polypyrimidine tract-binding protein PUF60 (RRM superfamily)
[R],KOG0125,Ataxin 2-binding protein (RRM superfamily)
[R],KOG0126,Predicted RNA-binding protein (RRM superfamily)
[A],KOG0127,Nucleolar protein fibrillarin NOP77 (RRM superfamily)
[A],KOG0128,RNA-binding protein SART3 (RRM superfamily)
[J],KOG0129,Predicted RNA-binding protein (RRM superfamily)
[R],KOG0130,RNA-binding protein RBM8/Tsunagi (RRM superfamily)
[A],KOG0131,Splicing factor 3b subunit 4
[AK],KOG0132,RNA polymerase II C-terminal domain-binding protein RA4 contains RPR and RRM domains
[LT],KOG0133,Deoxyribodipyrimidine photolyase/cryptochrome
[CR],KOG0134,NADH:flavin oxidoreductase/12-oxophytodienoate reductase
[IQ],KOG0135,Pristanoyl-CoA/acyl-CoA oxidase
[I],KOG0136,Acyl-CoA oxidase
[I],KOG0137,Very-long-chain acyl-CoA dehydrogenase
[E],KOG0138,Glutaryl-CoA dehydrogenase
[I],KOG0139,Short-chain acyl-CoA dehydrogenase
[I],KOG0140,Medium-chain acyl-CoA dehydrogenase
[EI],KOG0141,Isovaleryl-CoA dehydrogenase
[Q],KOG0142,Isopentenyl pyrophosphate:dimethylallyl pyrophosphate isomerase
[QR],KOG0143,Iron/ascorbate family oxidoreductases
[A],KOG0144,RNA-binding protein CUGBP1/BRUNO (RRM superfamily)
[A],KOG0145,RNA-binding protein ELAV/HU (RRM superfamily)
[A],KOG0146,RNA-binding protein ETR-3 (RRM superfamily)
[K],KOG0147,Transcriptional coactivator CAPER (RRM superfamily)
[AJ],KOG0148,Apoptosis-promoting RNA-binding protein TIA-1/TIAR (RRM superfamily)
[R],KOG0149,Predicted RNA-binding protein SEB4 (RRM superfamily)
[A],KOG0150,Spliceosomal protein FBP21
[R],KOG0151,Predicted splicing regulator contains RRM SWAP and RPR domains
[A],KOG0152,Spliceosomal protein FBP11/Splicing factor PRP40
[R],KOG0153,Predicted RNA-binding protein (RRM superfamily)
[R],KOG0154,RNA-binding protein RBM5 and related proteins contain G-patch and RRM domains
[K],KOG0155,Transcription factor CA150
[Q],KOG0156,Cytochrome P450 CYP2 subfamily
[QI],KOG0157,Cytochrome P450 CYP4/CYP19/CYP26 subfamilies
[Q],KOG0158,Cytochrome P450 CYP3/CYP5/CYP6/CYP9 subfamilies
[Q],KOG0159,Cytochrome P450 CYP11/CYP12/CYP24/CYP27 subfamilies
[Z],KOG0160,Myosin class V heavy chain
[Z],KOG0161,Myosin class II heavy chain
[Z],KOG0162,Myosin class I heavy chain
[Z],KOG0163,Myosin class VI heavy chain
[Z],KOG0164,Myosin class I heavy chain
[Z],KOG0165,Microtubule-associated protein Asp
[U],KOG0166,Karyopherin (importin) alpha
[S],KOG0167,FOG: Armadillo/beta-catenin-like repeats
[O],KOG0168,Putative ubiquitin fusion degradation protein
[T],KOG0169,Phosphoinositide-specific phospholipase C
[O],KOG0170,E3 ubiquitin protein ligase
[O],KOG0171,Mitochondrial inner membrane protease subunit IMP1
[E],KOG0172,Lysine-ketoglutarate reductase/saccharopine dehydrogenase
[O],KOG0173,20S proteasome regulatory subunit beta type PSMB7/PSMB10/PUP1
[O],KOG0174,20S proteasome regulatory subunit beta type PSMB6/PSMB9/PRE3
[O],KOG0175,20S proteasome regulatory subunit beta type PSMB5/PSMB8/PRE2
[O],KOG0176,20S proteasome regulatory subunit alpha type PSMA5/PUP2
[O],KOG0177,20S proteasome regulatory subunit beta type PSMB2/PRE1
[O],KOG0178,20S proteasome regulatory subunit alpha type PSMA4/PRE9
[O],KOG0179,20S proteasome regulatory subunit beta type PSMB1/PRE7
[O],KOG0180,20S proteasome regulatory subunit beta type PSMB3/PUP3
[O],KOG0181,20S proteasome regulatory subunit alpha type PSMA2/PRE8
[O],KOG0182,20S proteasome regulatory subunit alpha type PSMA6/SCL1
[O],KOG0183,20S proteasome regulatory subunit alpha type PSMA7/PRE6
[O],KOG0184,20S proteasome regulatory subunit alpha type PSMA3/PRE10
[O],KOG0185,20S proteasome regulatory subunit beta type PSMB4/PRE4
[E],KOG0186,Proline oxidase
[J],KOG0187,40S ribosomal protein S17
[J],KOG0188,Alanyl-tRNA synthetase
[E],KOG0189,Phosphoadenosine phosphosulfate reductase
[O],KOG0190,Protein disulfide isomerase (prolyl 4-hydroxylase beta subunit)
[O],KOG0191,Thioredoxin/protein disulfide isomerase
[T],KOG0192,Tyrosine kinase specific for activated (GTP-bound) p21cdc42Hs
[T],KOG0193,Serine/threonine protein kinase RAF
[T],KOG0194,Protein tyrosine kinase
[T],KOG0195,Integrin-linked kinase
[T],KOG0196,Tyrosine kinase EPH (ephrin) receptor family
[T],KOG0197,Tyrosine kinases
[T],KOG0198,MEKK and related serine/threonine protein kinases
[T],KOG0199,ACK and related non-receptor tyrosine kinases
[T],KOG0200,Fibroblast/platelet-derived growth factor receptor and related receptor tyrosine kinases
[T],KOG0201,Serine/threonine protein kinase
[P],KOG0202,Ca2+ transporting ATPase
[P],KOG0203,Na+/K+ ATPase alpha subunit
[P],KOG0204,Calcium transporting ATPase
[P],KOG0205,Plasma membrane H+-transporting ATPase
[R],KOG0206,P-type ATPase
[P],KOG0207,Cation transport ATPase
[P],KOG0208,Cation transport ATPase
[P],KOG0209,P-type ATPase
[P],KOG0210,P-type ATPase
[T],KOG0211,Protein phosphatase 2A regulatory subunit A and related proteins
[S],KOG0212,Uncharacterized conserved protein
[A],KOG0213,Splicing factor 3b subunit 1
[K],KOG0214,RNA polymerase II second largest subunit
[K],KOG0215,RNA polymerase III second largest subunit
[K],KOG0216,RNA polymerase I second largest subunit
[L],KOG0217,Mismatch repair ATPase MSH6 (MutS family)
[L],KOG0218,Mismatch repair MSH3
[L],KOG0219,Mismatch repair ATPase MSH2 (MutS family)
[L],KOG0220,Mismatch repair ATPase MSH4 (MutS family)
[L],KOG0221,Mismatch repair ATPase MSH5 (MutS family)
[Q],KOG0222,Phenylalanine and histidine ammonia-lyase
[G],KOG0223,Aquaporin (major intrinsic protein family)
[G],KOG0224,Aquaporin (major intrinsic protein family)
[C],KOG0225,Pyruvate dehydrogenase E1 alpha subunit
[R],KOG0226,RNA-binding proteins
[A],KOG0227,Splicing factor 3a subunit 2
[G],KOG0228,Beta-fructofuranosidase (invertase)
[T],KOG0229,Phosphatidylinositol-4-phosphate 5-kinase
[T],KOG0230,Phosphatidylinositol-4-phosphate 5-kinase and related FYVE finger-containing proteins
[R],KOG0231,Junctional membrane complex protein Junctophilin and related MORN repeat proteins
[C],KOG0232,Vacuolar H+-ATPase V0 sector subunits c/c'
[C],KOG0233,Vacuolar H+-ATPase V0 sector subunit c''
[G],KOG0234,Fructose-6-phosphate 2-kinase/fructose-26-biphosphatase
[G],KOG0235,Phosphoglycerate mutase
[P],KOG0236,Sulfate/bicarbonate/oxalate exchanger SAT-1 and related transporters (SLC26 family)
[F],KOG0237,Glycinamide ribonucleotide synthetase (GARS)/Aminoimidazole ribonucleotide synthetase (AIRS)
[IE],KOG0238,3-Methylcrotonyl-CoA carboxylase biotin-containing 
[Z],KOG0239,Kinesin (KAR3 subfamily)
[Z],KOG0240,Kinesin (SMY1 subfamily)
[Z],KOG0241,Kinesin-like protein
[Z],KOG0242,Kinesin-like protein
[Z],KOG0243,Kinesin-like protein
[Z],KOG0244,Kinesin-like protein
[Z],KOG0245,Kinesin-like protein
[Z],KOG0246,Kinesin-like protein
[Z],KOG0247,Kinesin-like protein
[Z],KOG0248,Cytoplasmic protein Max-1 contains PH MyTH4 and FERM domains
[R],KOG0249,LAR-interacting protein and related proteins
[L],KOG0250,DNA repair protein RAD18 (SMC family protein)
[TU],KOG0251,Clathrin assembly protein AP180 and related proteins contain ENTH domain
[P],KOG0252,Inorganic phosphate transporter
[R],KOG0253,Synaptic vesicle transporter SV2 (major facilitator superfamily)
[R],KOG0254,Predicted transporter (major facilitator superfamily)
[R],KOG0255,Synaptic vesicle transporter SVOP and related transporters (major facilitator superfamily)
[T],KOG0256,1-aminocyclopropane-1-carboxylate synthase and related proteins
[E],KOG0257,Kynurenine aminotransferase glutamine transaminase K
[E],KOG0258,Alanine aminotransferase
[E],KOG0259,Tyrosine aminotransferase
[K],KOG0260,RNA polymerase II large subunit
[K],KOG0261,RNA polymerase III large subunit
[K],KOG0262,RNA polymerase I large subunit
[K],KOG0263,Transcription initiation factor TFIID subunit TAF5 (also component of histone acetyltransferase SAGA)
[B],KOG0264,Nucleosome remodeling factor subunit CAF1/NURF55/MSI1
[A],KOG0265,U5 snRNP-specific protein-like factor and related proteins
[R],KOG0266,WD40 repeat-containing protein
[D],KOG0267,Microtubule severing protein katanin p80 subunit B (contains WD40 repeats)
[A],KOG0268,Sof1-like rRNA processing protein (contains WD40 repeats)
[S],KOG0269,WD40 repeat-containing protein
[S],KOG0270,WD40 repeat-containing protein
[S],KOG0271,Notchless-like WD40 repeat-containing protein
[A],KOG0272,U4/U6 small nuclear ribonucleoprotein Prp4 (contains WD40 repeats)
[B],KOG0273,Beta-transducin family (WD-40 repeat) protein
[R],KOG0274,Cdc4 and related F-box and WD-40 proteins
[R],KOG0275,Conserved WD40 repeat-containing protein
[U],KOG0276,Vesicle coat complex COPI beta' subunit
[U],KOG0277,Peroxisomal targeting signal type 2 receptor
[I],KOG0278,Serine/threonine kinase receptor-associated protein
[T],KOG0279,G protein beta subunit-like protein
[E],KOG0280,Uncharacterized conserved protein
[S],KOG0281,Beta-TrCP (transducin repeats containing)/Slimb proteins
[S],KOG0282,mRNA splicing factor
[S],KOG0283,WD40 repeat-containing protein
[A],KOG0284,Polyadenylation factor I complex subunit PFS2
[A],KOG0285,Pleiotropic regulator 1
[R],KOG0286,G-protein beta subunit
[L],KOG0287,Postreplication repair protein RAD18
[R],KOG0288,WD40 repeat protein TipD
[R],KOG0289,mRNA splicing factor
[S],KOG0290,Conserved WD40 repeat-containing protein AN11
[A],KOG0291,WD40-repeat-containing subunit of the 18S rRNA processing complex
[U],KOG0292,Vesicle coat complex COPI alpha subunit
[S],KOG0293,WD40 repeat-containing protein
[S],KOG0294,WD40 repeat-containing protein
[S],KOG0295,WD40 repeat-containing protein
[S],KOG0296,Angio-associated migratory cell protein (contains WD40 repeats)
[T],KOG0297,TNF receptor-associated factor
[L],KOG0298,DEAD box-containing helicase-like transcription factor/DNA repair protein
[A],KOG0299,U3 snoRNP-associated protein (contains WD40 repeats)
[S],KOG0300,WD40 repeat-containing protein
[I],KOG0301,Phospholipase A2-activating protein (contains WD40 repeats)
[R],KOG0302,Ribosome Assembly protein
[Z],KOG0303,Actin-binding protein Coronin contains WD40 repeats
[A],KOG0304,mRNA deadenylase subunit
[DO],KOG0305,Anaphase promoting complex Cdc20 Cdh1 and Ama1 subunits
[A],KOG0306,WD40-repeat-containing subunit of the 18S rRNA processing complex
[U],KOG0307,Vesicle coat complex COPII subunit SEC31
[S],KOG0308,Conserved WD40 repeat-containing protein
[S],KOG0309,Conserved WD40 repeat-containing protein
[S],KOG0310,Conserved WD40 repeat-containing protein
[O],KOG0311,Predicted E3 ubiquitin ligase
[S],KOG0312,Uncharacterized conserved protein
[Z],KOG0313,Microtubule binding protein YTM1 (contains WD40 repeats)
[O],KOG0314,Predicted E3 ubiquitin ligase
[R],KOG0315,G-protein beta subunit-like protein (contains WD40 repeats)
[S],KOG0316,Conserved WD40 repeat-containing protein
[O],KOG0317,Predicted E3 ubiquitin ligase integral peroxisomal membrane protein
[Z],KOG0318,WD40 repeat stress protein/actin interacting protein
[A],KOG0319,WD40-repeat-containing subunit of the 18S rRNA processing complex
[O],KOG0320,Predicted E3 ubiquitin ligase
[S],KOG0321,WD40 repeat-containing protein L2DTL
[R],KOG0322,G-protein beta subunit-like protein GNB1L contains WD repeats
[K],KOG0323,TFIIF-interacting CTD phosphatases including NLI-interacting factor
[S],KOG0324,Uncharacterized conserved protein
[CH],KOG0325,Lipoyltransferase
[A],KOG0326,ATP-dependent RNA helicase
[J],KOG0327,Translation initiation factor 4F helicase subunit (eIF-4A) and related helicases
[J],KOG0328,Predicted ATP-dependent RNA helicase FAL1 involved in rRNA maturation DEAD-box superfamily
[A],KOG0329,ATP-dependent RNA helicase
[A],KOG0330,ATP-dependent RNA helicase
[A],KOG0331,ATP-dependent RNA helicase
[A],KOG0332,ATP-dependent RNA helicase
[A],KOG0333,U5 snRNP-like RNA helicase subunit
[A],KOG0334,RNA helicase
[A],KOG0335,ATP-dependent RNA helicase
[A],KOG0336,ATP-dependent RNA helicase
[A],KOG0337,ATP-dependent RNA helicase
[A],KOG0338,ATP-dependent RNA helicase
[A],KOG0339,ATP-dependent RNA helicase
[A],KOG0340,ATP-dependent RNA helicase
[A],KOG0341,DEAD-box protein abstrakt
[A],KOG0342,ATP-dependent RNA helicase pitchoune
[A],KOG0343,RNA Helicase
[A],KOG0344,ATP-dependent RNA helicase
[A],KOG0345,ATP-dependent RNA helicase
[A],KOG0346,RNA helicase
[A],KOG0347,RNA helicase
[A],KOG0348,ATP-dependent RNA helicase
[A],KOG0349,Putative DEAD-box RNA helicase DDX1
[A],KOG0350,DEAD-box ATP-dependent RNA helicase
[L],KOG0351,ATP-dependent DNA helicase
[L],KOG0352,ATP-dependent DNA helicase
[R],KOG0353,ATP-dependent DNA helicase
[R],KOG0354,DEAD-box like helicase
[B],KOG0355,DNA topoisomerase type II
[O],KOG0356,Mitochondrial chaperonin Cpn60/Hsp60p
[O],KOG0357,Chaperonin complex component TCP-1 epsilon subunit (CCT5)
[O],KOG0358,Chaperonin complex component TCP-1 delta subunit (CCT4)
[O],KOG0359,Chaperonin complex component TCP-1 zeta subunit (CCT6)
[O],KOG0360,Chaperonin complex component TCP-1 alpha subunit (CCT1)
[O],KOG0361,Chaperonin complex component TCP-1 eta subunit (CCT7)
[O],KOG0362,Chaperonin complex component TCP-1 theta subunit (CCT8)
[O],KOG0363,Chaperonin complex component TCP-1 beta subunit (CCT2)
[O],KOG0364,Chaperonin complex component TCP-1 gamma subunit (CCT3)
[O],KOG0365,Beta subunit of farnesyltransferase
[O],KOG0366,Protein geranylgeranyltransferase type II beta subunit
[O],KOG0367,Protein geranylgeranyltransferase Type I beta subunit
[I],KOG0368,Acetyl-CoA carboxylase
[C],KOG0369,Pyruvate carboxylase
[R],KOG0370,Multifunctional pyrimidine synthesis protein CAD (includes 
[T],KOG0371,Serine/threonine protein phosphatase 2A catalytic subunit
[GT],KOG0372,Serine/threonine specific protein phosphatase involved in glycogen accumulation PP2A-related
[DT],KOG0373,Serine/threonine specific protein phosphatase involved in cell cycle control PP2A-related
[TR],KOG0374,Serine/threonine specific protein phosphatase PP1 catalytic subunit
[R],KOG0375,Serine-threonine phosphatase 2B catalytic subunit
[R],KOG0376,Serine-threonine phosphatase 2A catalytic subunit
[T],KOG0377,Protein serine/threonine phosphatase RDGC/PPEF contains STphosphatase and EF-hand domains
[J],KOG0378,40S ribosomal protein S4
[R],KOG0379,Kelch repeat-containing proteins
[I],KOG0380,Sterol O-acyltransferase/Diacylglycerol O-acyltransferase
[R],KOG0381,HMG box-containing protein
[R],KOG0382,Carbonic anhydrase
[R],KOG0383,Predicted helicase
[K],KOG0384,Chromodomain-helicase DNA-binding protein
[K],KOG0385,Chromatin remodeling complex WSTF-ISWI small subunit
[BK],KOG0386,Chromatin remodeling complex SWI/SNF component SWI2 and related ATPases (DNA/RNA helicase superfamily)
[KL],KOG0387,Transcription-coupled repair protein CSB/RAD26 (contains SNF2 family DNA-dependent ATPase domain)
[L],KOG0388,SNF2 family DNA-dependent ATPase
[B],KOG0389,SNF2 family DNA-dependent ATPase
[L],KOG0390,DNA repair protein SNF2 family
[R],KOG0391,SNF2 family DNA-dependent ATPase
[K],KOG0392,SNF2 family DNA-dependent ATPase domain-containing protein
[R],KOG0393,Ras-related small GTPase Rho type
[R],KOG0394,Ras-related GTPase
[R],KOG0395,Ras-related GTPase
[S],KOG0396,Uncharacterized conserved protein
[J],KOG0397,60S ribosomal protein L11
[J],KOG0398,Mitochondrial/chloroplast ribosomal protein L5/L7
[E],KOG0399,Glutamate synthase
[J],KOG0400,40S ribosomal protein S13
[J],KOG0401,Translation initiation factor 4F ribosome/mRNA-bridging subunit (eIF-4G)
[J],KOG0402,60S ribosomal protein L37
[T],KOG0403,Neoplastic transformation suppressor Pdcd4/MA-3 contains MA3 domain
[O],KOG0404,Thioredoxin reductase
[Q],KOG0405,Pyridine nucleotide-disulphide oxidoreductase
[O],KOG0406,Glutathione S-transferase
[J],KOG0407,40S ribosomal protein S14
[J],KOG0408,Mitochondrial/chloroplast ribosomal protein S11
[R],KOG0409,Predicted dehydrogenase
[R],KOG0410,Predicted GTP binding protein
[S],KOG0411,Uncharacterized membrane protein
[U],KOG0412,Golgi transport complex COD1 protein
[S],KOG0413,Uncharacterized conserved protein related to condensin complex subunit 1
[BD],KOG0414,Chromosome condensation complex Condensin subunit D2
[O],KOG0415,Predicted peptidyl prolyl cis-trans isomerase
[O],KOG0416,Ubiquitin-protein ligase
[O],KOG0417,Ubiquitin-protein ligase
[O],KOG0418,Ubiquitin-protein ligase
[O],KOG0419,Ubiquitin-protein ligase
[O],KOG0420,Ubiquitin-protein ligase
[O],KOG0421,Ubiquitin-protein ligase
[O],KOG0422,Ubiquitin-protein ligase
[O],KOG0423,Ubiquitin-protein ligase
[O],KOG0424,Ubiquitin-protein ligase
[O],KOG0425,Ubiquitin-protein ligase
[O],KOG0426,Ubiquitin-protein ligase
[O],KOG0427,Ubiquitin conjugating enzyme
[O],KOG0428,Non-canonical ubiquitin conjugating enzyme 1
[O],KOG0429,Ubiquitin-conjugating enzyme-related protein Ft1 involved in programmed cell death
[F],KOG0430,Xanthine dehydrogenase
[R],KOG0431,Auxilin-like protein and related proteins containing DnaJ domain
[J],KOG0432,Valyl-tRNA synthetase
[J],KOG0433,Isoleucyl-tRNA synthetase
[J],KOG0434,Isoleucyl-tRNA synthetase
[J],KOG0435,Leucyl-tRNA synthetase
[J],KOG0436,Methionyl-tRNA synthetase
[J],KOG0437,Leucyl-tRNA synthetase
[J],KOG0438,Mitochondrial/chloroplast ribosomal protein L2
[U],KOG0439,VAMP-associated protein involved in inositol metabolism
[D],KOG0440,Cell cycle-associated protein Mob1-1
[P],KOG0441,Cu2+/Zn2+ superoxide dismutase SOD1
[L],KOG0442,Structure-specific endonuclease ERCC1-XPF catalytic component XPF/ERCC4
[Z],KOG0443,Actin regulatory proteins (gelsolin/villin family)
[Z],KOG0444,Cytoskeletal regulator Flightless-I (contains leucine-rich and gelsolin repeats)
[Z],KOG0445,Actin regulatory protein supervillin (gelsolin/villin family)
[UR],KOG0446,Vacuolar sorting protein VPS1 dynamin and related proteins
[R],KOG0447,Dynamin-like GTP binding protein
[O],KOG0448,Mitofusin 1 GTPase involved in mitochondrila biogenesis
[G],KOG0449,Succinate dehydrogenase cytochrome b subunit
[G],KOG0450,2-oxoglutarate dehydrogenase E1 subunit
[G],KOG0451,Predicted 2-oxoglutarate dehydrogenase E1 subunit
[AJ],KOG0452,RNA-binding translational regulator IRP (aconitase superfamily)
[CE],KOG0453,Aconitase/homoaconitase (aconitase superfamily)
[E],KOG0454,3-isopropylmalate dehydratase (aconitase superfamily)
[E],KOG0455,Homoserine dehydrogenase
[E],KOG0456,Aspartate kinase
[B],KOG0457,Histone acetyltransferase complex SAGA/ADA subunit ADA2
