ID,WAN1100525_OT2_CB660_HCW_P1A01,WAN1100525_OT2_CB660_HCW_P1A03,WAN1100525_OT2_CB660_HCW_P1A05,WAN1100525_OT2_CB660_HCW_P1A07,WAN1100525_OT2_CB660_HCW_P1A09,WAN1100525_OT2_CB660_HCW_P1A11,WAN1100525_OT2_CB660_HCW_P1B01,WAN1100525_OT2_CB660_HCW_P1B02,WAN1100525_OT2_CB660_HCW_P1B03,WAN1100525_OT2_CB660_HCW_P1B04,WAN1100525_OT2_CB660_HCW_P1B05,WAN1100525_OT2_CB660_HCW_P1B06,WAN1100525_OT2_CB660_HCW_P1B07,WAN1100525_OT2_CB660_HCW_P1B08,WAN1100525_OT2_CB660_HCW_P1B09,WAN1100525_OT2_CB660_HCW_P1B10,WAN1100525_OT2_CB660_HCW_P1B11,WAN1100525_OT2_CB660_HCW_P1B12,WAN1100525_OT2_CB660_HCW_P1C01,WAN1100525_OT2_CB660_HCW_P1C02,WAN1100525_OT2_CB660_HCW_P1C03,WAN1100525_OT2_CB660_HCW_P1C04,WAN1100525_OT2_CB660_HCW_P1C05,WAN1100525_OT2_CB660_HCW_P1C06,WAN1100525_OT2_CB660_HCW_P1C07,WAN1100525_OT2_CB660_HCW_P1C08,WAN1100525_OT2_CB660_HCW_P1C09,WAN1100525_OT2_CB660_HCW_P1C10,WAN1100525_OT2_CB660_HCW_P1C11,WAN1100525_OT2_CB660_HCW_P1C12,WAN1100525_OT2_CB660_HCW_P1D01,WAN1100525_OT2_CB660_HCW_P1D02,WAN1100525_OT2_CB660_HCW_P1D03,WAN1100525_OT2_CB660_HCW_P1D04,WAN1100525_OT2_CB660_HCW_P1D05,WAN1100525_OT2_CB660_HCW_P1D06,WAN1100525_OT2_CB660_HCW_P1D08,WAN1100525_OT2_CB660_HCW_P1D09,WAN1100525_OT2_CB660_HCW_P1D10,WAN1100525_OT2_CB660_HCW_P1D11,WAN1100525_OT2_CB660_HCW_P1D12,WAN1100525_OT2_CB660_HCW_P1E01,WAN1100525_OT2_CB660_HCW_P1E02,WAN1100525_OT2_CB660_HCW_P1E03,WAN1100525_OT2_CB660_HCW_P1E04,WAN1100525_OT2_CB660_HCW_P1E05,WAN1100525_OT2_CB660_HCW_P1E06,WAN1100525_OT2_CB660_HCW_P1E07,WAN1100525_OT2_CB660_HCW_P1E08,WAN1100525_OT2_CB660_HCW_P1E09,WAN1100525_OT2_CB660_HCW_P1E10,WAN1100525_OT2_CB660_HCW_P1E11,WAN1100525_OT2_CB660_HCW_P1E12,WAN1100528_OT2_CB660_HCW_P1F01,WAN1100528_OT2_CB660_HCW_P1F02,WAN1100528_OT2_CB660_HCW_P1F03,WAN1100528_OT2_CB660_HCW_P1F04,WAN1100528_OT2_CB660_HCW_P1F05,WAN1100528_OT2_CB660_HCW_P1F06,WAN1100528_OT2_CB660_HCW_P1F07,WAN1100528_OT2_CB660_HCW_P1F08,WAN1100528_OT2_CB660_HCW_P1F09,WAN1100528_OT2_CB660_HCW_P1F10,WAN1100528_OT2_CB660_HCW_P1F11,WAN1100528_OT2_CB660_HCW_P1F12,WAN1100528_OT2_CB660_HCW_P1G01,WAN1100528_OT2_CB660_HCW_P1G02,WAN1100528_OT2_CB660_HCW_P1G03,WAN1100528_OT2_CB660_HCW_P1G04,WAN1100528_OT2_CB660_HCW_P1G05,WAN1100528_OT2_CB660_HCW_P1G06,WAN1100528_OT2_CB660_HCW_P1G07,WAN1100528_OT2_CB660_HCW_P1G08,WAN1100528_OT2_CB660_HCW_P1G09,WAN1100528_OT2_CB660_HCW_P1G10,WAN1100528_OT2_CB660_HCW_P1G11,WAN1100528_OT2_CB660_HCW_P1G12,WAN1100528_OT2_CB660_HCW_P1H01,WAN1100528_OT2_CB660_HCW_P1H02,WAN1100528_OT2_CB660_HCW_P1H03,WAN1100528_OT2_CB660_HCW_P1H04,WAN1100528_OT2_CB660_HCW_P1H05,WAN1100528_OT2_CB660_HCW_P1H06,WAN1100528_OT2_CB660_HCW_P1H07,WAN1100528_OT2_CB660_HCW_P1H08,WAN1100528_OT2_CB660_HCW_P1H09,WAN1100528_OT2_CB660_HCW_P1H10,WAN1100528_OT2_CB660_HCW_P1H11,WAN1100528_OT2_CB660_HCW_P1H12,WAN1100528_OT2_CB660_HCW_P2A01,WAN1100528_OT2_CB660_HCW_P2A02,WAN1100528_OT2_CB660_HCW_P2A03,WAN1100528_OT2_CB660_HCW_P2A04,WAN1100528_OT2_CB660_HCW_P2A05,WAN1100528_OT2_CB660_HCW_P2A06,WAN1100528_OT2_CB660_HCW_P2A07,WAN1100528_OT2_CB660_HCW_P2A08,WAN1100528_OT2_CB660_HCW_P2A09,WAN1100528_OT2_CB660_HCW_P2A10,WAN1100528_OT2_CB660_HCW_P2A11,WAN1100528_OT2_CB660_HCW_P2A12,WAN1100528_OT2_CB660_HCW_P2B01,WAN1100528_OT2_CB660_HCW_P2B03,WAN1100528_OT2_CB660_HCW_P2B05,WAN1100528_OT2_CB660_HCW_P2B07,WAN1100528_OT2_CB660_HCW_P2B09,WAN1100528_OT2_CB660_HCW_P2B11
ENOG4104K0S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,4.0,3.0,3.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENOG4104KCG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENOG41050P9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENOG41064U2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENOG410668P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENOG41066GU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENOG41066XY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,10.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENOG41067GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,4.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENOG41067ZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENOG4106AJU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
